"речник","106418901","a reference book containing an alphabetical list of words with information about them"
"српски","302963942","of or relating to the people or language or culture of the region of Serbia"
"правити","201617192","make or cause to be or to become"
"правити","201621555","create or manufacture a man-made product"
"правити","201640207","create by artistic means"
"правити","201654628","make by combining materials and parts"
"правити","201653873","make by shaping or bringing together constituents"
"направити","201617192","make or cause to be or to become"
"направити","201621555","create or manufacture a man-made product"
"направити","201640207","create by artistic means"
"направити","201654628","make by combining materials and parts"
"направити","201653873","make by shaping or bringing together constituents"
"прављен","300672785","produced by a manufacturing process"
"прављење","100923995","the act that results in something coming to be"
"направљен","300672785","produced by a manufacturing process"
"књига","106410904","a written work or composition that has been published (printed on pages bound together)"
"књига","102870092","physical objects consisting of a number of pages bound together"
"књижица","500000001","a small book"
"чело","105602548","the part of the face above the eyes"
"чело","102992211","a large stringed instrument; seated player holds it upright while playing"
"чело","105541231","the large cranial bone forming the front part of the cranium: includes the upper part of the orbits"
"језик","106282651","a systematic means of communicating by the use of sounds or conventional symbols"
"језик","105301072","a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity"
"језик","107109196","(language) communication by word of mouth"
"енглески","303003616","of or relating to the English language"
"енглески","303003344","of or relating to or characteristic of England or its culture or people"
"лекар","110020890","a licensed medical practitioner"
"лекарев","500000002","possessed by a doctor"
"кувати","201665638","prepare a hot meal"
"кувати","201664172","prepare for eating by applying heat"
"кувати","200322847","transform and make suitable for consumption by heating"
"кувати","200328128","immerse or be immersed in a boiling liquid, often for cooking purposes"
"кувати","200708376","devise a system or form a scheme for"
"скувати","201665638","prepare a hot meal"
"скувати","201664172","prepare for eating by applying heat"
"скувати","200322847","transform and make suitable for consumption by heating"
"скувати","200328128","immerse or be immersed in a boiling liquid, often for cooking purposes"
"скувати","200708376","devise a system or form a scheme for"
"куван","300615757","having been prepared for eating by the application of heat"
"куван","300616822","cooked in hot water"
"кување","100243918","the act of preparing something (as food) by the application of heat"
"бити","202603699","have an existence, be extant"
"бити","202616386","be identical to; be someone or something"
"бити","202604760","have the quality of being; (copula, used with an adjective or a predicate noun)"
"бити","202664769","be identical or equivalent to"
"бити","202620587","form or compose"
"беба","109827683","a very young child (birth to 1 year) who has not yet begun to walk or talk"
"бебин","500000003","possesed by a baby"
"хтети","201825237","feel or have a desire for; want strongly"
"хтети","201188725","have need of"
"хтење","500000004","the state of being in want of something"
"коњ","102374451","solid-hoofed herbivorous quadruped domesticated since prehistoric times"
"коњ","103624767","a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa)"
"коњев","500000005","possessed by a horse"
"коњић","500000006","a little horse"
"гуза","105559256","the fleshy part of the human body that you sit on"
"слика","103876519","graphic art consisting of an artistic composition made by applying paints to a surface"
"пиво","107886849","a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops"
"звати","201028748","assign a specified (usually proper) proper name to"
"звати","200789448","get or try to get into communication (with someone) by telephone"
"звати","200792471","order, request, or command to come"
"звати","201063695","request the participation or presence of"
"звати","200868591","issue a challenge to"
"звати","201097500","engage somebody to enter the army"
"звати","201023259","repeat a passage from"
"позвати","201028748","assign a specified (usually proper) proper name to"
"позвати","200789448","get or try to get into communication (with someone) by telephone"
"позвати","200792471","order, request, or command to come"
"позвати","201063695","request the participation or presence of"
"позвати","200868591","issue a challenge to"
"позвати","201097500","engage somebody to enter the army"
"позвати","201023259","repeat a passage from"
"позван","500000429","invited"
"позван","500000431","called to order"
"говорити","200963570","use language"
"говорити","200962447","exchange thoughts; talk with"
"говорити","201009240","express in words"
"град","108524735","a large and densely populated urban area; may include several independent administrative districts"
"град","108540903","an incorporated administrative district established by state charter"
"град","108665504","an urban area with a fixed boundary that is smaller than a city"
"град","111465530","precipitation of ice pellets when there are strong rising air currents"
"мачка","102121620","feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats"
"мачка","103815482","an article of apparel worn about the neck"
"мачкин","500000017","possessed by a cat"
"градић","108665504","an urban area with a fixed boundary that is smaller than a city"
"градић","500000019","a small city"
"оловка","103908204","a thin cylindrical pointed writing implement; a rod of marking substance encased in wood"
"оловка","114796748","graphite (or a similar substance) used in such a way as to be a medium of communication"
"уџбеник","106414372","a book prepared for use in schools or colleges"
"писмо","106624161","a written message addressed to a person or organization"
"писмо","106359877","letters or symbols that are written or imprinted on a surface to represent the sounds or words of a language"
"писмо","106497459","a character set that includes letters and is used to write a language"
"писмо","106471345","a document attesting to the truth of certain stated facts"
"ићи","201835496","change location; move, travel, or proceed, also metaphorically"
